Review,bac_si,nhan_vien,csvc_va_phuong_tien_pv
đây cũng đc gọi là bệnh viện à,0,0,2.0
Làm việc quá lâu đi khám lấy thuốc về xong uống đúng còn bị trở bệnh nặng hơn quá chán nản,0,0,0.0
"Bệnh viện Chợ Rẫy là cái bọn rác rưởi ăn trên đầu trên cổ bệnh nhân và người nhà...Hướng dẫn làm thủ tục nhập viện thì đọc tới đọc lui, thân nhân đến làm thủ tục thì thô lỗ, hách dịch, vào trong nhận người bệnh đang cấp cứu để nhập viện thì bị trực ban và bác sĩ trực đuổi ra, giải thích thì không nghe còn giở giọng mất dạy quát nạt người nhà bệnh nhân...Vào viện thì làm khó làm dễ, ép người nhà bệnh nhân đi đóng đủ tiền mới cho thuốc và cho bác sĩ qua thăm khám nhưng không cho người khác vào thay trông chừng bệnh nhân trong thời gian đi đóng tiền. Đồ dùng của người nhà thì bắt bỏ đi và làm tiền, buộc phải mua đồ của bệnh viện...Thái độ hách dịch từ trực ban, bảo vệ, y tá, hộ lý, công nhân vệ sinh và đến cả bác sĩ. Chỉ có tiền viện phí là đòi liền không thiếu một đồng...Tóm lại là nơi bọn cặn bã sống và làm việc với nhau, chỉ khổ cho bệnh nhân và thân nhân khi phải đưa vào làm việc chung với cái loại thất học này.",1,1,0.0
Một bệnh viện tuyến trên mà xe cấp cứu vào ko cho đỗ để lấy cáng và dấu công lệnh,3,1,1.0
"Bệnh viện thoáng mát sạch sẽ hiện đại , nhưng đc cái mấy con y tá lầu 5 khoa phẩu thuật thần kinh nói chuyện với người lớn đúng kiểu ko đc dạy từ nhỏ , nhất là con y ta đeo kính mang bầu :)) ,",2,0,5.0
"Quy trình khám chữa bệnh thì rất tốt, nhanh chóng tiện lợi..Nhưng về các bác sĩ chuyên khoa thái độ, lời nói với bệnh nhân gần như gắt gỏng, to tiếng. Mình vừa mới bị thủy đậu vào gặp bác sĩ khám thì cảm giác như kiểu phải đi cầu chực được khám, không có cảm giác được quan tâm đến bệnh tình. Hy vọng mọi thứ sẽ tích cực hơn trong tương lai vì đây là bệnh viện tốt về mọi mặt. Mình cho 2 sao.",2,0,0.0
"Đi từ quận Tân Phú. TP HCM cùng nhiều người vào huế, mình bị đau bụng do ăn đồ ăn dơ tại huế và đi viện ở đây thế là bị bắt đi cách li? Trong khi mình k có 1 yếu tố liên quan đến dịch tể và xét nghiệm âm tính vẫn k cho mình về cứ bắt mình thanh toán tiền. Dù mình đã thanh toán hết tiền bên cơ sở 1",0,0,2.0
"Thái độ điều dưỡng và y tá vô cùng tệ, thái độ, làm tiền, rất đa cấp",1,0,0.0
"Bệnh viện đẹp, bác sĩ và y tá rất nhiệt tình",5,5,4.0
Chăm sóc bệnh nhân tốt cho người có công,4,4,0.0
"Nhân viên hướng dẫn không kỹ, để bệnh nhân đi hỏi lung tung. Bệnh viện đông bảo vệ hách dịch làm khó bệnh nhân.",1,1,1.0
"Sạch sẽ, cơ sở vật chất hiện đại, đội ngũ y bác sỹ tận tình, chuyên môn kỹ thuật cao",5,0,5.0
"Bệnh viện cùi bắp, cơ sở vật chất như những năm 1980..Nhà vệ sinh siêu bẩn.Nước tắm có bọ gậy.Phòng bệnh có chỗ thiếu quạt",0,0,1.0
"Bệnh viện lớn, rất đông bệnh nhân, cơ sở vật chất và trang thiết bị khá mới và tốt, vệ sinh sạch sẽ, y bác sỹ chu đáo nhiệt tình.",4,0,4.0
Mệt mỏi khi phải vào viện,0,0,0.0
"Trình quá kém, nhổ có mỗi cái răng mà trói buộc con người ta vào, không làm được thì chuyển ....haizzzz...",1,0,0.0
"Tuyệt vời luôn.Bé nhà mình 2 tuổi, mòn hết 4 răng cửa bên trên do men răng yếu ( chắc do hồi bầu mẹ uống ít canxi).Thấy 1 răng cửa của con bị lủng 1 lỗ sâu, trước đấy thấy có sưng to 1 lần mà mẹ ko để ý, tưởng con bị viêm lợi.Đi khắp các nha khoa đều bảo k can thiệp, để đó đợi rụng.Con mình mới 2 tuổi đợi rụng là 4 năm nữa, chả nhẽ ngày nào cũng phải đợi con ngủ rồi moi moi chòi chòi thứ ăn nhét vào răng của con.Sau khi tìm hiểu khắp google, mình quyết định đưa con đi răng hàm mặt tphcm.Đến bác sĩ khám và xử lý luôn, rất nhanh gọn, nhanh tới mức mình không ngờ luôn ấy.Con mình được trám lại cái răng lủng lỗ, và mình rút tủy trám lại 3 cái răng còn lại luôn, vì nó mòn hết rồi, để vậy trước sau gì cũng hỏng và viêm như cái răng lủng lỗ kia.Cảm ơn các bs rất nhiều.Sau 1 tuần thì bé nhà em đã ăn uống bình thường rồi ạ",4,0,4.0
"Năm 1900.Bệnh viện Chợ Rẫy (BVCR) được thành lập từ năm 1900 với tên là “Hôpital Municipal de Cho lon”, rồi lần lượt bệnh viện được đổi tên thành “Hôpital Indigene de Cochinchine” (1919), “Hôpital Lalung Bonnaire” (1938), “Hôpital 415” (1945). Sau đó bệnh viện được tách ra làm 2 phòng khám là Hàm Nghi và Nam Việt. Hai phòng khám này sáp nhập lại vào năm 1957 cho tới ngày nay. Trong thực tế, người dân vẫn dùng tên Chợ Rẫy để gọi bệnh viện từ ngày thành lập...Năm 1971..Năm 1971, BVCR được tái xây dựng trên một diện tích 53.400m2 với trang thiết bị hiện đại để trở thành một trong những bệnh viện lớn nhất Đông Nam Á. Công trình được hoàn thành vào tháng sáu năm 1974 bằng viện trợ không hoàn lại của Chính phủ Nhật Bản. Những năm 1993-1995, Chính phủ Nhật Bản tiếp tục viện trợ không hoàn lại nâng cấp cơ sở hạ tầng bệnh viện...HIỆN NAY..Ngày nay, tại miền Nam Việt Nam, tại Thành phố Hồ Chí Minh, BVCR hiện diện các khu nhà nhiều tầng: khu nhà 11 tầng, khu nhà Trung tâm Ung bướu Chợ Rẫy.... Thế mạnh nổi bật tại BVCR là sự kết hợp giữa các chuyên khoa mang lại hiệu quả tốt nhất trong việc chẩn đoán và điều trị bệnh. BVCR luôn theo mục tiêu hiện đại hóa quy trình kỹ thuật y khoa, nâng cao chất lượng dịch vụ y tế và phong cách giao tiếp BVCR là nơi mà tất cả các bệnh nhân luôn đặt niềm tin tuyệt đối...Nhằm nâng cao chất lượng phục vụ và đáp ứng nhu cầu khám chữa bệnh của bệnh nhân, từ ngày 03/8/2015 bệnh viện Chợ Rẫy đã đưa vào hoạt động  phòng khám chuyên gia được đặt tại lầu 1 khu Khám Bệnh của bệnh viện. Phòng khám do các chuyên gia đầu ngành của bệnh viện Chợ Rẫy đảm trách...Bắt đầu từ ngày 15/03/2019, lịch khám bệnh của các phòng khám chuyên gia như sau:..Nội Tổng Quát (Từ thứ hai đến thứ sáu).Mắt (Từ thứ hai đến thứ sáu).Tai Mũi Họng (Từ thứ hai đến thứ sáu).Nội Tiết (Thứ hai, thứ năm).Nội Tiêu hóa (Thứ tư).Ngoại Tiêu hóa (Thứ năm).Nội Tim mạch (Thứ ba, thứ sáu).Cơ Xương Khớp (Thứ ba, thứ sáu).Gan Mật Tụy (Thứ tư).Quý khách có thể khám các chuyên khoa đã nêu vào các ngày không có lịch khám, khi Quý khách có yêu cầu..Để đăng ký khám xin quý khách vui lòng liên hệ trực tiếp tại khoa Khám Bệnh, phòng khám chuyên gia từ thứ hai đến thứ sáu:..- Sáng: từ 7 giờ đến 11 giờ.- Chiều: từ 13 giờ đến 16 giờ..Ngoài ra quý khách cũng có thể đăng ký khám qua tổng đài 1080 hoặc liên hệ trực tiếp qua số điện thoại (028) 39.556.079 vào giờ hành chính.",5,5,5.0
". Bác sĩ, điều dưỡng thái độ hống hách,người nhà bệnh nhân vào phòng hồi sức để đón bệnh nhân, tâm lý đã rất buồn , lo lắng tâm trạng thì rối thế mà bác sĩ điều dưỡng không nói 1 câu nhẹ nhàng, nói cũng phải gắt lên mà lại cười đùa với y tá rồi lại quay ra quát mình . Nói chung là chê.",1,0,2.0
Ngày 02/8/2022 đến khám mà như đi xin ăn không bằng. Từ lúc vào cổng đến lúc nộp tiền rồi đi khám,0,2,2.0
thăm khám ok nhưng thực tập sinh nhìu wá,0,0,1.0
"Khu phố văn minh, hàng xóm tình cảm, rộn tiếng cười. Một nơi rất đáng sống khi gặp biến cố lớn trong cuộc sống.",0,0,0.0
Nơi khám chữa bệnh của Trung ương đặt tại địa phương,2,2,2.0
"Bác sỹ Khang - khoa tai mũi họng bệnh viện lão khoa TW, khám cho bệnh nhân rất nhẹ nhàng, kỹ và cẩn thận, 5 sao vote.",5,0,0.0
Làm việc tận tình chu đáo,3,3,3.0
Chất lượng dịch vụ đi lên nhanh và chuyên nghiệp hơn trước.,2,3,3.0
"Trung tâm ngoại khoa đầu ngành của cả nước. Ngoài ra đây là nơi đặt trung tâm điều phối ghép tạng quốc gia do Gs Trịnh Hồng Sơn đứng đầu. Bệnh nhân đến khám vẫn phải gửi xe ngoài vỉa hè. Cơm bình dân quanh viện nhiều hoặc bạn có thể ăn ở căng tin tầng 7 nhà 7 tầng hoặc căng tin đối gần khoa phẫu thuật Nhi. Nghỉ ngơi cho người nhà bệnh nhân có nhà trọ của bệnh viện thuộc dự án Học Mãi Úc, giá 4 nghìn / giường/ đêm ( tắm chung, mỗi người 1 giường, giường 2 tầng), phù hợp với bà con ở xa.",4,4,4.0
Cơ sở vật chất tồi tàn..Bác sĩ siêu âm vừa làm vừa nói chuyện cười đùa với 2 bác sĩ khác. Hỏi thì không trả lời.,2,0,1.0
"Chất lượng dịch vụ rất tệ. ĐẶC BIỆT LÀ BẢO VỆ RẤT HÁCH DỊCH, THIẾU TÔN TRỌNG NGƯỜI KHÁC, GIAO TIẾP KIỂU GIAN HỒ.",0,0,0.0
"Bệnh viện Chợ Rẫy là một bệnh viện đa khoa trung ương cấp quốc gia, phục vụ Nam Bộ, nằm tại Quận 5, Thành phố Hồ Chí Minh. Đây là bệnh viện tuyến cuối hạng đặc biệt trực thuộc Bộ Y tế,[2] đồng thời là trung tâm nghiên cứu khoa học, chỉ đạo tuyến và triển khai nhiều dự án hợp tác quốc tế trong lĩnh vực y tế.[3]..Bệnh viện",0,0,0.0
bệnh viện thuỵ điển khám chữa bệnh,3,3,3.0
Để bệnh nhân chờ đợi lâu trong thời gian thăm khám,3,0,0.0
Bv hàng đầu. Bảo vệ. Nv hdan nhiệt tình. Bs chuyên môn tốt nhưng chắc khám ngày nhiều lưotj bn nên khám nhanh . Bt mất tầm1.2h là khám xong. Lâu thì cũng trong buổi sáng. Nên đi sớm lấy số. Vì bv đông nguoi đếb khám,4,5,0.0
thầy thuốc như mẹ hiền mà sao bác sĩ ở bệnh viện lại đánh con đẻ của mình vậy ạ? Thế mà bệnh viện còn bao che cho hành vi ấy nữa - Hổ dữ không ăn thịt con mà lại làm thế ư?,0,0,0.0
Mn ai nhổ răng khôn rồi mà má bị sưng to k ạ? Cho e lời khuyên với,0,0,0.0
"Địa điểm chính xác. Bệnh viện quá tải, bệnh nhân phải nằm ngoài hành lang và thân nhân phải nằm mọi chỗ có thể nằm nghỉ, kể cả cửa phòng vệ sinh, ngoài trời,cầu thang... Mong SG có thêm nhiều BV để giảm tải cho bv Chợ Rẫy.",0,0,3.0
"Biết là làm việc có áp lực thật, nhưng mình không hiểu đến cả nhân viên lao công lau dọn còn chửi bệnh nhân . nhưng bù lại y bác sĩ nhiệt tình tận tâm. Bạn nào bị lé mà k cận thì đến mổ đi. Trong 1 buổi sáng là xuất viện đc r",4,2,0.0
Bảo vệ bệnh viện ý thức rất kém,0,1,0.0
"Bệnh viện có quy trình sàng lọc bệnh nhân trước khi vào khám khá kỹ, viện sạch, ân cần",0,0,5.0
"khám có bảo hiểm và ko bảo hiểm riêng nhau, khám ko bảo hiểm nhận biết bằng thẻ đeo, đội ngũ y - bác sĩ nội soi lương thiện, chu đáo, hài hước.",4,0,0.0
"Đội ngũ y bác sĩ, điều dưỡng làm việc tắc trách, thiếu chuyên nghiệp, hằn học, thái độ vs bệnh nhân",2,0,0.0
Nhân viên bảo vệ gặp 3 người thì được cả 3 như bố mẹ bệnh nhân,2,1,1.0
"Bệnh viện tuyến đầu mà quá kém. Mình khám 5 lần, 3 giáo sư. mà mỗi lần 1 bs phán 1 kiểu khác nhau. Tư vấn hằn học bệnh nhân.",2,0,0.0
"Vội vội vàng vàng, nhìn chung là chán cách bác sĩ cư sử.",2,0,0.0
Tìm địa điểm của BV da liêủ để về khám,0,0,0.0
"Thái độ của mấy bác bảo vệ ngộ lắm ạ, nhà mình đi thăm bệnh 1 người nuôi 1 người mà không biết là bệnh viện ko cho 2ng nhà vào mà mấy ng bảo vệ không biết nói nhẹ nhàng mà cứ xông vào ầm ầm làm lố lắm á",1,0,0.0
"bác sĩ làm ăn không có tâm, thiếu trách nhiệm, chỉnh răng niềng dư sắt đâm vào môi gây khó chịu chảy máu liên tục, lúc xong tôi biết, tôi nói để bs chỉnh lại thì không chỉnh, chính là sự lười nhác của bác sĩ. bệnh viện có những người như vậy làm tôi cảm thấy bv này không đáng để đi tới,.MỘT BỆNH VIỆN TỐT KHÔNG THỂ CHO ĐỂ CHO NGƯỜI BÁC SĨ CÓ Ý THỨC XẤU VÀO LÀM VIỆC...đáng 1 sao",2,0,0.0
"Cơ sở vật chất tốt, nhưng chuyên môn bình thường",1,1,3.0
"Em bị nổi ngứa ở tay, đi khám. Thế là bác sĩ cho 4 cái xét nghiệm, từ máu đến nấm bla bla. Đợi kết quả lâu ơi là nâu, gần 2 tiếng, sau đó kết quả là mọi thứ hoàn toàn bình thường. Kê cho đơn thuốc, 1 thuốc là đường hô hấp??? 1 thuốc là sữa tắm ??? 1 thuốc là kem dưỡng da ??.Đến lúc kê đơn thuốc mới bđầu hỏi triệu chứng… ủa 🥲 em hỏi là bệnh gì để còn biết, bác ý bảo: cháu không làm sao cả, cháu bị mỗi phần da tay thôi. !!! Ủa chứ cái đấy cháu biết mà :) nói như nói =))) nói như cháu nói vậy :))).Xong bảo uống đủ thuốc, bố cô :)))) thế này thì cháu cũng làm tiến sĩ được",1,0,0.0
Không có bãi gửi xe. Gói khám lao phổi để xin visa không cần thiết với nhiều phần xét nghiệm nên giá là 1.1 triệu so với bệnh viện tư Hồng Ngọc chỉ là 305 k...No park place. The total costs for lung certificate is much higher than other hospital. The attitude of guide is so not enthusiasm.,0,0,0.0
"Khi mới bước vào Sài Gòn, thật sự để tìm một nơi khám răng đáng tin cậy là một điều rất khó vì đây được thành phố cực kì lớn và đa dạng các phòng nha, nó có ở khắp nơi và mình đã chọn đây là một địa điểm để khám răng cũng như là nhổ chiếc răng khôn thứ hai của mình và thứ ba của mình..Khi đi bệnh viện khám thì nó hơi quy trình một chút: đầu tiên là phải lấy số, sau đó thì vô phòng khám rồi  đi chụp phim cuối cùng quay lại phòng khám xác định sẽ chữa bằng một cách nào đó rồi sẽ được chỉ lên phòng điều trị chị với mình thì điều này sẽ rất số rồi mất thời gian tuy nhiên điều này ngày sẽ giúp xác định bệnh của chúng ta chính xác hơn nên đành chấp nhận..Mình khá yên tâm với cách điều trị ở đây vì mình đã nhổ đi Hai chiếc răng khôn tại bệnh viện..Gần đây quay lại bệnh viện mình thấy mọi thứ đã khác xưa: sảnh hành lang ở được lắp máy lạnh, có rất là nhiều cái máy cấp nước sạch ở trong bệnh viện để người bệnh có thể tự lấy nước uống, khu vực ngồi chờ có rất là nhiều dãy ghế và bệnh viện khác là sạch..Tuy nhiên có một điểm bệnh viện không thay đổi đó là chỗ gửi xe hơi nhỏ và chật chội nhưng các anh giữ xe rất dễ thương họ sẽ chỉ chỗ cho mình và giúp mình lấy xe ra nếu gặp khó khăn..Cuối cùng, đối với nhân viên, theo mình với một lượng bệnh đông trong một thành phố lớn mà các nhân viên vẫn hỗ trợ nhiệt tình dù họ tiếp xúc với rất nhiều người trong một ngày nên mình đánh giá cao và thái độ của nhân viên trong bệnh viện đặc biệt là các y bác sĩ của bệnh viện.",0,0,0.0
"Hãy đến với một bệnh viện tận tâm, chuyên nghiệp và đầy đủ trang thiết bị hiện đại.",5,5,5.0
"Dịch vụ KÉM, TỆ HẠI. Đi từ 1h kém, 1h20 tới, hiện tại lúc tôi viết cái đánh giá này là 14h43' vẫn chưa được gọi tên, CHỜ HƠN 1 TIẾNG. Bên ngoài người ta đứng chờ không có chỗ ngồi, bên trong bác sĩ vừa làm vừa buôn chuyện! 3h30 có lớp mà không biết chừng nào mới tới mình. Hối hận quá biết vậy qua bệnh viện ở quận 5😢 …",0,0,1.0
"Bệnh viện tuyến đầu,lượng bệnh nhân rất đông,dịch vụ ở đây rất tốt.các bạn muốn ăn uống ngon,rẽ tìm kiếm bản đồ địa chỉ 47 đường phó cơ điều p12 quận 5,cách bệnh viện Chợ Rẫy tầm 1km,khi người hoa,đồ ăn thức uống rẽ hơn so với gần bệnh viện tầm 25-30k 1 món",0,0,5.0
BỆNH VIỆN Y HỌC CỔ TRUYỀN TRUNG ƯƠNG.NÊU CAO TINH THẦN XUNG PHONG VÀ CỐNG HIẾN TRONG CUỘC CHIẾN VỚI COVID-19,3,3,3.0
"Thái hộ bảo vệ và nhân viên tiếp tân rất mất lịch sự. Biết là bệnh viện quá tải và bệnh nhân toàn dân quê ngơ ngơ ko biết gì. Nhưng cùng một câu nói ngta chỉ khác thái độ thôi đã khiến người ra đánh giá chất lượng và đạo đức rồi. Làm ơn đào tạo lại thái độ, đạo đức của nhân viên. Người ta đã có bệnh đã đủ buồn phiền rồi đến gặp còn quát nạt như chó mèo nữa ,thật sự là mỗi người nên hiểu cho nhau một tí. Người bệnh đến khám không phải người đang trả lương cho các bạn ạ?.Thực ra đây là vấn đề tồn đọng hàng chục năm rồi chứ không phải giờ mới có. Nói lên vậy thôi chứ chắc càng ngày càng tệ hơn.",1,0,0.0
Bệnh viện uy tín chất lượng,4,4,4.0
Bệnh viện lớn. Hiện đại..Phục vụ vẫn chưa thân thiện chu đáo.Bệnh nhân rất đông.,0,0,3.0
"Cơ sở chăm sóc kh kém , quá kém . Mình đến tẩy nốt ruồi . mất 150 hay 200k để tư vấn ( mình không nhớ rõ ), vào tư vấn thì bác sĩ thái độ vui vẻ nhưng chỉ chăm chăm ngồi bấm điện thoại không tư vấn gì kêu mình đợi tí nhưng chả quan tâm . 1 bsi của ng khác quay qua hỏi mình chiều cao cân nặng rồi lại quay qua hỏi bệnh nhân mới bước vào, không ai quan tâm đến mình trong khoảng vài phút cho đến khi mình lên tiếng hỏi ,bác sĩ đang bấm đt  bảo nốt ruồi của mình phải mổ đi ra đóng tiền chờ mỗ . Chấm hết . Trả 1tr5 để mổ chưa kể tiền thuốc sau đó nhưng trong quá trình mổ các bác sĩ đang mổ nhưng cười đùa buôn chuyện, chửi giỡn nhau, thiếu tập chung,bật nhạc nghe . Thái độ thiếu chuyên nghiệp.  Không nghĩ 1 bv lớn sẽ thiếu chuyên nghiệp đến vậy .",2,0,0.0
"Bệnh viện vắng người nên có vẻ sạch, chứ y đức của bác sĩ thối lắm",1,0,3.0
"Tan tình chu đáo, thấu hiểu ăn tâm.toi hài lòng khi tới đây.",4,4,0.0
"Định đi khám ở đây mà toàn đánh giá 1 sao ntn, mong chính phủ quan tâm tới mấy bệnh viện này, những y bác sĩ không có tâm nên đuổi việc hết, thanh lọc hết những thể loại hành nghề không có lương tâm. Có tâm có đức thì mới bền được làm ăn thất đức con cháu sau này chúng m hưởng nghiệp của chúng m thôi.",0,0,0.0
Bệnh viện rộng rãi.chất lượng phục vụ chưa tốt lắm.cần đào tạo chuyên môn.nâng cao thái độ phục vụ nhân viên.,3,3,4.0
"Cơ sở vật chất đã tương đối phát triển. Các tòa nhà mới khang trang, sạch sẽ.",2,2,3.0
"Vào đăng ký dịch vụ khám nội soi đại tràng, vào đầu tiên mà ý tá sắp cuối sau 7 người, chờ gần 2 tiếng, hỏi thì bảo mấy người kia khám dịch vụ thì đc ưu tiên còn mình thì khám thường nên sau có giải thích là mình đăng ký khám dịch vụ mà vẫn bị bất đợi tới cuối cùng, bộ y tá k biết đọc chữ à?",0,0,0.0
Bảo vệ bệnh viện đưa người nhà bệnh nhân ra nhà nghỉ bệnh viện. Tới 6h chiều vô cửa thông qua nhà nghỉ lại không cho vô. Bắt phải đi vòng ra cổng chính bệnh viện. Đổi lại bảo vệ bắt người thân bệnh nhân đi vòng xa thế. Vậy đừng có bắt người nhà bệnh nhân ra đó rùi lại không cho vào đường thông qua nhà nghỉ.,0,0,0.0
Chỗ điện thoại khẩn cấp cần có nhân viên thường xuyên nghe máy vì nếu lỡ 1 cuộc gọi có thể lỡ mất đi cơ hội sống của 1 người,0,0,0.0
Bện viện liêm doanh của ĐỨC mà vẫn còn ăn đút lót vkk😠😠😠😠😠.Thế này những người khó khăn thì phải biết làm sao hả …,1,1,1.0
Bệnh viện đầu ngành Tai Mũi Họng của cả nước,0,0,0.0
Thật là tồi tệ..Khám Dịch Vụ ở bên Phụ Sản Trung Ương mà chất lượng lẫn cách làm việc còn thua khám thường bên Phụ Sản Hà Nội..Đã phải chờ đợi lâu vì đợi kết quả xét nghiệm rồi..Mà khi đọc kết quả thì BS nhận người quen vào trước..Thật sự là bất công và không xứng đáng về mặt chất lượng và dịch vụ..Sẽ không bao giờ để vợ quay lại khám và sinh ở đây.,2,0,0.0
"Bệnh viện đầu ngành quốc gia, trang thiết bị hiện đại..Tuy nhiên đội ngũ y bác sỹ thiếu lương tâm nghề nghiệp, luôn mang tâm lý doạ nạt bệnh nhân hoặc tư vấn theo hướng moi tiền..Mọi người chỉ nên tới khám trong trường hợp hết sự lựa chọn.",2,0,4.0
"Bác sĩ, y tá nhiệt tình, giá phí cao so vs các phòng nha khoa.",4,0,2.0
"*****niềm nở, tận tình,dặn dò, chu đáo*****",5,5,5.0
"Tình trạng quá tải vẫn còn nhiều lắm. Thang máy đi lên thì ổn, chứ đi xuống đi bộ nhanh hơn",0,0,3.0
Nơi không chạy tốt nhưng chất lượng tốt,2,2,3.0
"Bệnh viện Phụ sản Trung ương (tên gọi cũ: Bệnh viện C) (tên tiếng Anh là National Hospital of Obstetrics and Gynecology (NHOG)) hay tiếng Pháp là Hôpital National de Gynécologie Obstétrique (HNGO)) nằm ở số 43 phố Tràng Thi, phường Hàng Bông, quận Hoàn Kiếm, thành phố Hà Nội. Bệnh viện là tuyến chuyên môn cao nhất chuyên ngành Phụ sản và Sơ sinh Việt Nam, là trung tâm đào tạo đại học và sau đại học. Bệnh viện có quy mô 600 giường bệnh 08 phòng chức năng 12 khoa lâm sàng 09 khoa cận lâm sàng 05 trung tâm 01 đơn vị chăm sóc sức khỏe sơ sinh tại nhà.",4,0,4.0
"Bệnh viện Việt Đức cơ bản tốt. Nhưng quầy đón tiếp, phòng hành chính làm chậm, đề bệnh nhân phải chờ đợi. BV cần có cách quản lý cải thiện tốt hơn.",3,1,1.0
Hôm nay đưa con đi khám theo yêu cầu mà bác sĩ không được tận tâm tỏ ra vẻ lạnh lùng như kiểm không cần thiết (đúng là ngành y sĩ làm xấu câu => Lương Y Như Từ Mẫu<=) phải chăng đông quá nên mới thiếu sự chuyên nghiệp không biết lãnh đạo là người có hiểu những gì đang sảy ra hằng ngày hay không???,2,0,0.0
Cách phục vụ bệnh nhân rất tệ,0,0,2.0
Tuyệt đối không mua cắt kính ở cửa hàng của bệnh viện Mắt cái kính vài trăm nó bán vài triệu .Mọi người nên chia sẻ cho nhiều người biết.,0,0,2.0
"Đúng là bệnh viện quan liêu, mất công đến khoa tầng 8 công nghệ cao, mất tiền khám bảo được đúng 1 phút rồi ra, bác sĩ không nhiệt tình. Mình quá thất vọng",2,0,0.0
"Rất hài lòng từ khâu tiếp nhận đến lúc khám xong,bệnh nhân khá đông nhưng quy trình xử lý nhanh gọn chu đáo.",0,0,4.0
"Bệnh viện uy tín, bác sĩ có tay nghề cao, Cần mở rộng thêm quy mô",3,2,1.0
Căn tin benh vien nhan vien khong tu te,1,0,0.0
Muốn đến thăm và chia sẽ thức ăn với bệnh nhân thì sao mn,0,0,0.0
"Nhân viên làm việc gắt gỏng, thiếu hỗ trợ",0,2,0.0
"Bệnh viện hạng đặc biệt của cả nước, chiếc nôi đầu ngành về ngoại khoa, bệnh nhân đến viện hầu hết là các ca rất nặng, cường độ làm việc của các nhân viên ở đây là cực kì khủng khiếp nếu không có sự hỗ trợ thêm của học viên.Là cơ sở thực hành chính về ngoại khoa và các ngành phụ trợ cho khối ngoại của trường đại học Y Hà Nội.Học viên đến học ở đây sẽ học được rất nhiều ở đây về thực hành nhưng cũng mang tính đặc thù về bệnh ngoại khoa.",3,3,3.0
"Ai mua gọng kính thì né hàng bán kính bên hông của bệnh viện ra nhé vì bán giá trên trời, mắt kính mua thì ok nma gọng kính thấy toàn lấy của Việt Tín r bán giá gấp 3 lần.",0,0,2.0
"Bệnh viện E này cả BS trưởng lẫn nhân viên làm việc vô trách nhiệm  k biết gđ họ có người mắc bệnh k mà họ hành xác gđ và bệnh nhân ngược xuôi nếu là con ,là cháu của họ chắc họ sẽ thay đổi tâm tính.bs nhân viên yta hướng dẫn lòng vòng k tận tâm .muốn moi tiền gđ người bệnh thật buồn cho nghành y nước nhà.",2,2,0.0
"Bệnh viện lớn, đi mệt nghỉ. Nổi tiếng quá rồi.",0,0,3.0
Dành cho những bệnh nhân có thời gian điều trị lâu dài với các bệnh mãn tính!,2,2,2.0
"Thái độ từ nhân viên bệnh viện đến điều dưỡng, bác sĩ đều khó chịu. Chị mặc áo hồng ở ngoài các phòng khám quát tháo bệnh nhân như quát con.",1,1,0.0
"Hiện tại tôi ở trong 1 ngôi nhà mà có người nhà cứ rình cắt tóc và lấy trộm đồ , tôi muốn có sự giúp đỡ của trại tâm thần trung uơng 1",2,2,2.0
"Các bác sĩ khám rất tận tình, nhưng nhân viên thu tiền cổng vào có thái độ rất xấu, phân biệt đối xử và có hành vi xúc phạm bệnh nhân. Tôi rất không hài lòng.",5,1,0.0
"Tiêm phòng cho trẻ tại Bệnh viện nhiệt đới trung ương nhanh, chất lượng và các loại thuốc tương đối đầy đủ, các bác sỹ tư vân nhiệt tình thân thiện.",4,0,4.0
địa chỉ tin cậy cho mọi nhà,4,4,4.0
"Bệnh viện Mắt Trung ương trong vai trò là bệnh viện chuyên khoa đầu ngành của cả nước, nhiều năm qua công tác đào tạo cán bộ và chỉ đạo tuyến dưới về chuyên môn luôn được coi trọng và quan tâm.",0,0,0.0
Giàn hoa giấy của bệnh viện quy hoà,0,0,0.0
"Bệnh viện rất đông vì là tuyến đầu, vào thấy ng nằm la liệt, mn đi khám nhớ hỏi kỹ quy trình tránh mất thời gian nhé.Vào đây thì bệnh nhân hay bác sĩ thì cx đều mệt và áp lực như nhau nên mong mn hay nói chuyện bình tĩnh và nhẹ nhàng nhé.",1,1,1.0
Rất tệ . Các cô y tá làm hồ sơ chậm thích lớn tiếg với người khác . Bác sĩ thì mặc kệ bệnh nhân đag đau . Mua gói dvụ nhưg lại không được khám theo gói dịch vụ . Chờ đợi rất bsĩ y tá ăn ngủ rồi mới khám cho bệnh nhân . Không hướng dẫn kĩ về thủ tục khi người ta làm sai chỉ biết quát nạt bệnh nhân . Quầy bán thuốc thì hỏi không trả lời vì bận xem đthoại qtrọng hơn mạg người . Và còn rất nhìu chuyện bực bội khác . Sẽ không đến đây 1 lần nào nữa,0,0,0.0
"Giá dịch vụ đắt nhưng phải chờ rất lâu  và thái độ điều dưỡng Nguyễn Hồng Vân với bệnh nhân như kiểu đi ăn xin, bsi thì tư vấn không nhiệt tình, bv chật, nhà vệ sinh ngồi xổm, đi siêu âm chỉ có 2 phòng nên chờ hơn tiếng mới đến lượt, nói chung k nên vào nếu mà có chỗ khác trình độ bai ngang bằng hoặc hơn",2,0,2.0
